phase,split,pde,candidate,test_type,subset_index,source_sample_id,hard_rank,zeta_obs_u,zeta_pde,clip_threshold,rel_l2_a,rel_l2_u,pde_residual_norm,metrics_path
tune,tune,poisson,baseline,smooth,3,820,7,360000000.0,0.3,50.0,0.8656279444694519,0.30452799797058105,0.034044522792100906,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/baseline/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-132343/metrics_per_sample.csv
tune,tune,poisson,obs_16x,id,0,672,1,5760000000.0,0.3,50.0,0.5567513704299927,0.08124412596225739,0.053647272288799286,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173802/metrics_per_sample.csv
tune,tune,poisson,obs_16x,id,1,602,3,5760000000.0,0.3,50.0,0.44210776686668396,0.05720452964305878,0.03338559344410896,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173802/metrics_per_sample.csv
tune,tune,poisson,obs_16x,id,2,307,5,5760000000.0,0.3,50.0,0.40496498346328735,0.08549661189317703,0.037671301513910294,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173802/metrics_per_sample.csv
tune,tune,poisson,obs_16x,id,3,222,7,5760000000.0,0.3,50.0,0.4493885934352875,0.05474718660116196,0.030700936913490295,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173802/metrics_per_sample.csv
tune,tune,poisson,obs_16x,rough,0,787,1,5760000000.0,0.3,50.0,0.6854500770568848,0.11541768908500671,0.058015596121549606,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173836/metrics_per_sample.csv
tune,tune,poisson,obs_16x,rough,1,16,3,5760000000.0,0.3,50.0,0.695146381855011,0.12833966314792633,0.03874962031841278,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173836/metrics_per_sample.csv
tune,tune,poisson,obs_16x,rough,2,163,5,5760000000.0,0.3,50.0,0.6659601926803589,0.13933010399341583,0.04226594418287277,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173836/metrics_per_sample.csv
tune,tune,poisson,obs_16x,rough,3,204,7,5760000000.0,0.3,50.0,0.6771667003631592,0.1098063513636589,0.0474691204726696,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173836/metrics_per_sample.csv
tune,tune,poisson,obs_16x,smooth,0,12,1,5760000000.0,0.3,50.0,0.7056489586830139,0.1078844666481018,0.055707212537527084,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173819/metrics_per_sample.csv
