pde,candidate,zeta_obs_u,zeta_pde,clip_threshold,n,rel_l2_a_mean,rel_l2_a_median,rel_l2_a_p90,rel_l2_a_max,rel_l2_u_mean,pde_residual_norm_mean,robust_score,rel_l2_a_mean_id,rel_l2_u_mean_id,pde_residual_norm_mean_id,rel_l2_a_mean_smooth,rel_l2_u_mean_smooth,pde_residual_norm_mean_smooth,rel_l2_a_mean_rough,rel_l2_u_mean_rough,pde_residual_norm_mean_rough,pde_residual_ratio_vs_baseline,solution_error_ratio_vs_baseline,pde_residual_ratio_vs_baseline_id,solution_error_ratio_vs_baseline_id,pde_residual_ratio_vs_baseline_smooth,solution_error_ratio_vs_baseline_smooth,pde_residual_ratio_vs_baseline_rough,solution_error_ratio_vs_baseline_rough,passes_guardrails
poisson,obs_64x,23040000000.0,0.3,50.0,12,0.5041968350609144,0.5006114989519119,0.6386477231979371,0.6464457511901855,0.05798036636163791,0.05213790542135636,0.5729818847278754,0.38958781212568283,0.042609076015651226,0.044079894199967384,0.490808442234993,0.0468781478703022,0.04459768254309893,0.6321942508220673,0.0844538751989603,0.06773613952100277,1.3437959332581897,0.21738825171418047,1.1547122374681793,0.20322168251252637,1.0968256841526907,0.1651777650420893,1.8033001642482744,0.2753917816820365,False
poisson,obs_32x,11520000000.0,0.3,50.0,12,0.5365933626890182,0.5428869128227234,0.658083724975586,0.6665282845497131,0.0713126016780734,0.046293883894880615,0.5990274557471276,0.42150356620550156,0.05376081261783838,0.04035906586796045,0.5358419045805931,0.06091455556452274,0.04267129395157099,0.6524346172809601,0.09926243685185909,0.0558512918651104,1.1931728444001808,0.2673753681943477,1.0572418127662548,0.25640928682482234,1.0494485029997314,0.21463582935310982,1.4868967216917188,0.323680343552437,False
poisson,obs_16x,5760000000.0,0.3,50.0,12,0.5800444558262825,0.5993688702583313,0.6941767513751984,0.7056489586830139,0.09142936952412128,0.0424678980683287,0.6394050450623036,0.46330317854881287,0.06967311352491379,0.03885127604007721,0.5958993509411812,0.08139154314994812,0.041927347891032696,0.6809308379888535,0.12322345189750195,0.04662507027387619,1.0945623583656197,0.3428000208244462,1.0177439102103065,0.3323021449988331,1.031152055734023,0.28678763563848403,1.2412723470444917,0.40181372237945034,True
poisson,obs_octuple,2880000000.0,0.3,50.0,12,0.6338664814829826,0.6645033657550812,0.7321204006671906,0.7957127690315247,0.11945380705098312,0.04059480829164386,0.6957119147479535,0.5134536549448967,0.0904721599072218,0.03831135807558894,0.6701332628726959,0.11063405126333237,0.041643738746643066,0.7180125266313553,0.15725520998239517,0.041829328052699566,1.0462855738612393,0.4478732354578155,1.003600276425814,0.43150207129895063,1.0241770342510905,0.3898252417264576,1.1135980686416214,0.5127863269010504,True
poisson,obs_quadruple,1440000000.0,0.3,50.0,12,0.6979614545901617,0.7198526263237,0.8278684079647064,0.8953278064727783,0.15734089662631354,0.03960294105733434,0.7764068109790484,0.5708763152360916,0.11843688599765301,0.03815170982852578,0.7590323388576508,0.1527347583323717,0.0414348216727376,0.7639757096767426,0.20085104554891586,0.03922229167073965,1.0207213102985682,0.5899249105705314,0.9994181478631209,0.5648783192375794,1.0190389732700946,0.5381694280111957,1.0441924430917355,0.6549459945574735,True
poisson,obs_double,720000000.0,0.3,50.0,12,0.7717495610316595,0.788146048784256,0.9613348186016083,0.9995064735412598,0.20730287892123064,0.039039607625454664,0.8741765208045642,0.6330017596483231,0.15790810249745846,0.03812399646267295,0.8686672449111938,0.21260929852724075,0.041033368557691574,0.8135796785354614,0.2513912357389927,0.03796145785599947,1.0062020240190275,0.7772494941290967,0.9986921714679298,0.7531341505764289,1.0091657228575859,0.7491407052825103,1.0106259918400258,0.8197501908149543,True
poisson,obs_only,360000000.0,0.0,50.0,12,0.8532222112019857,0.858534187078476,1.0811130583286286,1.127528429031372,0.26671365400155383,0.03889998452117046,0.9764507089058558,0.6977547258138657,0.20966864377260208,0.03826955705881119,0.9992025643587112,0.2838033437728882,0.04076018836349249,0.8627093434333801,0.3066689744591713,0.037670208141207695,1.0026033953781242,1.0000008380433543,1.0025052614198133,1.0000032514654025,1.002447188702592,0.9999968890745177,1.0028722187104187,1.0000028425451557,True
poisson,baseline,360000000.0,0.3,50.0,12,0.8532223353783289,0.85853311419487,1.0811150252819062,1.127529263496399,0.2667134304841359,0.03879897544781367,0.976451527973016,0.6977565586566925,0.20966796204447746,0.038173921406269073,0.9992018938064575,0.2838042266666889,0.04066068399697542,0.8627085536718369,0.30666810274124146,0.037562320940196514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
